place1,relation,place2,triplet,question,options,answer,option_sources
Craven,north,Sutton Vesey,Craven is north Sutton Vesey,Which city is located in north of Sutton Vesey?,"A. Kersal
B. Craven
C. Tividale",B. Craven,"hard,correct,random"
Blundellsands,north,Darlaston South,Blundellsands is north Darlaston South,Which city is located in north of Darlaston South?,"A. Droylsden West
B. Camperdown
C. Blundellsands",C. Blundellsands,"hard,random,correct"
Heswall,north,Stechford and Yardley North,Heswall is north Stechford and Yardley North,Which city is located in north of Stechford and Yardley North?,"A. Sheldon
B. Heswall
C. Golborne and Lowton West",B. Heswall,"random,correct,hard"
Cleadon and East Boldon,north,Perry Barr,Cleadon and East Boldon is north Perry Barr,Which city is located in north of Perry Barr?,"A. North Manor
B. Cleadon and East Boldon
C. Dukinfield",B. Cleadon and East Boldon,"random,correct,hard"
Pallion,north,Harper Green,Pallion is north Harper Green,Which city is located in north of Harper Green?,"A. Camperdown
B. Radcliffe North
C. Pallion",C. Pallion,"hard,random,correct"
Bamford,north,Perry Barr,Bamford is north Perry Barr,Which city is located in north of Perry Barr?,"A. Fawdon
B. Bamford
C. Dukinfield",B. Bamford,"random,correct,hard"
Birkdale,north,Quarry Bank and Dudley Wood,Birkdale is north Quarry Bank and Dudley Wood,Which city is located in north of Quarry Bank and Dudley Wood?,"A. Collingwood
B. Norton & Askern
C. Birkdale",C. Birkdale,"hard,random,correct"
Leasowe and Moreton East,north,Sedgley,Leasowe and Moreton East is north Sedgley,Which city is located in north of Sedgley?,"A. Bingley Rural
B. Manor Castle
C. Leasowe and Moreton East",C. Leasowe and Moreton East,"hard,random,correct"
Norton & Askern,north,Doxey,Norton & Askern is north Doxey,Which city is located in north of Doxey?,"A. Ramsbottom
B. Burmantofts and Richmond Hill
C. Norton & Askern",C. Norton & Askern,"random,hard,correct"
Liscard,north,Darlaston South,Liscard is north Darlaston South,Which city is located in north of Darlaston South?,"A. Hodge Hill
B. Liscard
C. Morley West Yorkshire",B. Liscard,"random,correct,hard"
Whitley Bay,north,Castleton,Whitley Bay is north Castleton,Which city is located in north of Castleton?,"A. Keighley West
B. Whitley Bay
C. Cheylesmore",B. Whitley Bay,"hard,correct,random"
Oxton,north,Rushall-Shelfield,Oxton is north Rushall-Shelfield,Which city is located in north of Rushall-Shelfield?,"A. Metropolitan Borough of Barnsley
B. Oxton
C. Wallasey",B. Oxton,"random,correct,hard"
Denton South,north,Oldbury,Denton South is north Oldbury,Which city is located in north of Oldbury?,"A. Elland
B. Denton South
C. Wingfield",B. Denton South,"hard,correct,random"
Hebburn North,north,Everton,Hebburn North is north Everton,Which city is located in north of Everton?,"A. Ramsbottom
B. Hebburn North
C. Bamford",B. Hebburn North,"hard,correct,random"
Norwood,north,Charlemont with Grove Vale,Norwood is north Charlemont with Grove Vale,Which city is located in north of Charlemont with Grove Vale?,"A. Ancoats and Clayton
B. South Jesmond
C. Norwood",C. Norwood,"hard,random,correct"
Halliwell,north,Lozells and East Handsworth,Halliwell is north Lozells and East Handsworth,Which city is located in north of Lozells and East Handsworth?,"A. Halliwell
B. Knottingley
C. Chowdene",A. Halliwell,"correct,hard,random"
Crumpsall,north,Wednesbury South,Crumpsall is north Wednesbury South,Which city is located in north of Wednesbury South?,"A. Crumpsall
B. Elton
C. Whalley Range",A. Crumpsall,"correct,hard,random"
Swinton South,north,Lozells and East Handsworth,Swinton South is north Lozells and East Handsworth,Which city is located in north of Lozells and East Handsworth?,"A. Bramhall North
B. Halliwell
C. Swinton South",C. Swinton South,"random,hard,correct"
Woolsington,north,Chorlton Park,Woolsington is north Chorlton Park,Which city is located in north of Chorlton Park?,"A. High Fell
B. Central Rochdale
C. Woolsington",C. Woolsington,"hard,random,correct"
Bamford,north,Bentley and Darlaston North,Bamford is north Bentley and Darlaston North,Which city is located in north of Bentley and Darlaston North?,"A. Sedgley
B. Longbridge
C. Bamford",C. Bamford,"hard,random,correct"
Irwell Riverside,north,Birchills Leamore,Irwell Riverside is north Birchills Leamore,Which city is located in north of Birchills Leamore?,"A. Holbrook
B. Irwell Riverside
C. Normanton West Yorkshire",B. Irwell Riverside,"random,correct,hard"
Washington East,north,Holme Valley North,Washington East is north Holme Valley North,Which city is located in north of Holme Valley North?,"A. Washington East
B. Felling
C. West Gosforth",A. Washington East,"correct,random,hard"
Whickham South and Sunniside,north,Bromborough,Whickham South and Sunniside is north Bromborough,Which city is located in north of Bromborough?,"A. Hyde Newton
B. Whickham South and Sunniside
C. South Elmsall and South Kirkby",B. Whickham South and Sunniside,"hard,correct,random"
Killingworth,north,Besses,Killingworth is north Besses,Which city is located in north of Besses?,"A. Killingworth
B. Childwall
C. West Midlands Euro Region",A. Killingworth,"correct,hard,random"
Bridges,north,Friar Park,Bridges is north Friar Park,Which city is located in north of Friar Park?,"A. Bridges
B. Chadderton Central
C. Holyrood",A. Bridges,"correct,random,hard"
Wavertree,north,Smethwick,Wavertree is north Smethwick,Which city is located in north of Smethwick?,"A. Wavertree
B. Handsworth Wood
C. Millfield",A. Wavertree,"correct,hard,random"
Heckmondwike,north,Silverwood,Heckmondwike is north Silverwood,Which city is located in north of Silverwood?,"A. Aspull New Springs Whelley
B. Metropolitan Borough of Knowsley
C. Heckmondwike",C. Heckmondwike,"hard,random,correct"
Church,north,Kings Norton,Church is north Kings Norton,Which city is located in north of Kings Norton?,"A. Church
B. Bloxwich West
C. Richmond",A. Church,"correct,random,hard"
Ryburn,north,Castle Bromwich,Ryburn is north Castle Bromwich,Which city is located in north of Castle Bromwich?,"A. Whoberley
B. East
C. Ryburn",C. Ryburn,"random,hard,correct"
Hexthorpe & Balby North,north,Sutton Vesey,Hexthorpe & Balby North is north Sutton Vesey,Which city is located in north of Sutton Vesey?,"A. Westgate
B. Knowle
C. Hexthorpe & Balby North",C. Hexthorpe & Balby North,"hard,random,correct"
Stretford,north,Sedgley,Stretford is north Sedgley,Which city is located in north of Sedgley?,"A. Stretford
B. Leasowe and Moreton East
C. Benwell and Scotswood",A. Stretford,"correct,hard,random"
Brinsworth and Catcliffe,north,Wollaston and Stourbridge Town,Brinsworth and Catcliffe is north Wollaston and Stourbridge Town,Which city is located in north of Wollaston and Stourbridge Town?,"A. Brinsworth and Catcliffe
B. Windy Nook and Whitehills
C. Lemington",A. Brinsworth and Catcliffe,"correct,hard,random"
Astley Mosley Common,north,Heath Town,Astley Mosley Common is north Heath Town,Which city is located in north of Heath Town?,"A. Astley Mosley Common
B. Weetslade
C. Walkergate",A. Astley Mosley Common,"correct,random,hard"
Simonside and Rekendyke,north,Kersal,Simonside and Rekendyke is north Kersal,Which city is located in north of Kersal?,"A. Aldridge Central and South
B. Simonside and Rekendyke
C. Golborne and Lowton West",B. Simonside and Rekendyke,"hard,correct,random"
Wetherby,north,Langley,Wetherby is north Langley,Which city is located in north of Langley?,"A. Levenshulme
B. Wetherby
C. Crompton",B. Wetherby,"random,correct,hard"
Edgeley and Cheadle Heath,north,Greets Green and Lyng,Edgeley and Cheadle Heath is north Greets Green and Lyng,Which city is located in north of Greets Green and Lyng?,"A. Edgeley and Cheadle Heath
B. Town Centre
C. Fellgate and Hedworth",A. Edgeley and Cheadle Heath,"correct,random,hard"
East Gosforth,north,Kings Norton,East Gosforth is north Kings Norton,Which city is located in north of Kings Norton?,"A. Richmond
B. Halewood North
C. East Gosforth",C. East Gosforth,"hard,random,correct"
Pendlebury,north,Longbridge,Pendlebury is north Longbridge,Which city is located in north of Longbridge?,"A. Quarry Bank and Dudley Wood
B. Pendlebury
C. Kirklees",B. Pendlebury,"hard,correct,random"
Claremont,north,Langley,Claremont is north Langley,Which city is located in north of Langley?,"A. Pilkington Park
B. Claremont
C. Crompton",B. Claremont,"random,correct,hard"
Hebburn South,north,Norris Green,Hebburn South is north Norris Green,Which city is located in north of Norris Green?,"A. Hebburn South
B. Bournville
C. Olton",A. Hebburn South,"correct,hard,random"
Castle,north,High Fell,Castle is north High Fell,Which city is located in north of High Fell?,"A. Paddock
B. Castle
C. Holbrook",B. Castle,"hard,correct,random"
Winton,north,Moseley and Kings Heath,Winton is north Moseley and Kings Heath,Which city is located in north of Moseley and Kings Heath?,"A. Winton
B. Riverside
C. Ashton Waterloo",A. Winton,"correct,hard,random"
Stainforth & Barnby Dun,north,Selly Oak,Stainforth & Barnby Dun is north Selly Oak,Which city is located in north of Selly Oak?,"A. Stainforth & Barnby Dun
B. Wickersley
C. Dearne North",A. Stainforth & Barnby Dun,"correct,random,hard"
Longbenton,north,Brooklands,Longbenton is north Brooklands,Which city is located in north of Brooklands?,"A. Washington South
B. Breightmet
C. Longbenton",C. Longbenton,"random,hard,correct"
Moorside,north,Claremont,Moorside is north Claremont,Which city is located in north of Claremont?,"A. Moorside
B. Fallowfield
C. Soho and Victoria",A. Moorside,"correct,hard,random"
Woolton,north,Graiseley,Woolton is north Graiseley,Which city is located in north of Graiseley?,"A. Bushbury South and Low Hill
B. Woolton
C. Battle Hill",B. Woolton,"hard,correct,random"
Riverside,north,Moseley and Kings Heath,Riverside is north Moseley and Kings Heath,Which city is located in north of Moseley and Kings Heath?,"A. Great Horton
B. Riverside
C. Hale Central",B. Riverside,"hard,correct,random"
Town,north,Merry Hill,Town is north Merry Hill,Which city is located in north of Merry Hill?,"A. Pelaw and Heworth
B. Hipperholme and Lightcliffe
C. Town",C. Town,"hard,random,correct"
Worsley,north,Sharston,Worsley is north Sharston,Which city is located in north of Sharston?,"A. Halesowen North
B. Worsley
C. Hendon",B. Worsley,"random,correct,hard"
Blakelaw and North Fenham,north,Washington East,Blakelaw and North Fenham is north Washington East,Which city is located in north of Washington East?,"A. Wakefield Rural
B. Blakelaw and North Fenham
C. Killingbeck and Seacroft",B. Blakelaw and North Fenham,"hard,correct,random"
Castle Eden,north,Holderness,Castle Eden is north Holderness,Which city is located in north of Holderness?,"A. Cleadon Park
B. Castle Eden
C. Hemsworth",B. Castle Eden,"hard,correct,random"
Harton,north,Roman Ridge,Harton is north Roman Ridge,Which city is located in north of Roman Ridge?,"A. Hyde Park and Woodhouse
B. Harton
C. Windhill and Wrose",B. Harton,"random,correct,hard"
Morley West Yorkshire,north,Darlaston South,Morley West Yorkshire is north Darlaston South,Which city is located in north of Darlaston South?,"A. Morley West Yorkshire
B. Wainbody
C. Blundellsands",A. Morley West Yorkshire,"correct,random,hard"
Walkergate,north,Streetly,Walkergate is north Streetly,Which city is located in north of Streetly?,"A. Boston Castle
B. Waterhead
C. Walkergate",C. Walkergate,"random,hard,correct"
Sandhill,north,Bilston East,Sandhill is north Bilston East,Which city is located in north of Bilston East?,"A. Mossley Hill
B. Manor
C. Sandhill",C. Sandhill,"random,hard,correct"
Killingworth,north,Wavertree,Killingworth is north Wavertree,Which city is located in north of Wavertree?,"A. Killingworth
B. Elswick
C. Kearsley",A. Killingworth,"correct,hard,random"
Waterhead,north,Streetly,Waterhead is north Streetly,Which city is located in north of Streetly?,"A. Waterhead
B. Dewsbury West
C. Featherstone",A. Waterhead,"correct,hard,random"
Rossington,north,South Yardley,Rossington is north South Yardley,Which city is located in north of South Yardley?,"A. Rossington
B. Bingley
C. Metropolitan Borough of Bury",A. Rossington,"correct,hard,random"
Fellgate and Hedworth,north,Greets Green and Lyng,Fellgate and Hedworth is north Greets Green and Lyng,Which city is located in north of Greets Green and Lyng?,"A. Edgeley and Cheadle Heath
B. City of Salford
C. Fellgate and Hedworth",C. Fellgate and Hedworth,"hard,random,correct"
Ossett,north,Upper Stoke,Ossett is north Upper Stoke,Which city is located in north of Upper Stoke?,"A. Wainbody
B. Ossett
C. Greenhead",B. Ossett,"random,correct,hard"
Timperley,north,Palfrey,Timperley is north Palfrey,Which city is located in north of Palfrey?,"A. Tonge with the Haulgh
B. City and Hunslet
C. Timperley",C. Timperley,"random,hard,correct"
Claremont,north,Fallowfield,Claremont is north Fallowfield,Which city is located in north of Fallowfield?,"A. Moss Side
B. Claremont
C. Aston",B. Claremont,"hard,correct,random"
Whitley Bay,north,Guiseley and Rawdon,Whitley Bay is north Guiseley and Rawdon,Which city is located in north of Guiseley and Rawdon?,"A. Kearsley
B. Radcliffe West
C. Whitley Bay",C. Whitley Bay,"random,hard,correct"
Littleborough Lakeside,north,Timperley,Littleborough Lakeside is north Timperley,Which city is located in north of Timperley?,"A. Littleborough Lakeside
B. Burmantofts and Richmond Hill
C. Brinsworth and Catcliffe",A. Littleborough Lakeside,"correct,random,hard"
Halewood,north,Edgbaston,Halewood is north Edgbaston,Which city is located in north of Edgbaston?,"A. Cleadon Park
B. Palfrey
C. Halewood",C. Halewood,"hard,random,correct"
Harpurhey,north,Wednesbury North,Harpurhey is north Wednesbury North,Which city is located in north of Wednesbury North?,"A. Harpurhey
B. Handsworth Wood
C. Tonge with the Haulgh",A. Harpurhey,"correct,random,hard"
West Gosforth,north,Holme Valley North,West Gosforth is north Holme Valley North,Which city is located in north of Holme Valley North?,"A. Washington East
B. Newton
C. West Gosforth",C. West Gosforth,"hard,random,correct"
Kippax West Yorkshire,north,Shard End,Kippax West Yorkshire is north Shard End,Which city is located in north of Shard End?,"A. Kippax West Yorkshire
B. Chapel Allerton
C. Winlaton and High Spen",A. Kippax West Yorkshire,"correct,hard,random"
Hyde Park and Woodhouse,north,Hyde Newton,Hyde Park and Woodhouse is north Hyde Newton,Which city is located in north of Hyde Newton?,"A. Handsworth Wood
B. Hyde Park and Woodhouse
C. Beacon and Bents",B. Hyde Park and Woodhouse,"random,correct,hard"
Ashton St. Michael's,north,Shirley South,Ashton St. Michael's is north Shirley South,Which city is located in north of Shirley South?,"A. Wednesbury South
B. Ashton St. Michael's
C. Cradley and Wollescote",B. Ashton St. Michael's,"random,correct,hard"
Bowling and Barkerend,north,Old Moat,Bowling and Barkerend is north Old Moat,Which city is located in north of Old Moat?,"A. Preston
B. Bowling and Barkerend
C. Bushbury South and Low Hill",B. Bowling and Barkerend,"random,correct,hard"
Dewsbury East,north,Earlsdon,Dewsbury East is north Earlsdon,Which city is located in north of Earlsdon?,"A. Dewsbury East
B. Longford
C. Deckham",A. Dewsbury East,"correct,random,hard"
Whitley Bay,north,Conisbrough Parks,Whitley Bay is north Conisbrough Parks,Which city is located in north of Conisbrough Parks?,"A. Whitley Bay
B. Metropolitan Borough of Wigan
C. Rawmarsh",A. Whitley Bay,"correct,random,hard"
