place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Stechford and Yardley North,east,Old Warley,within,Birmingham,distant,Wednesfield South,"Stechford and Yardley North within Birmingham, distant to Wednesfield South, and east of Old Warley",Which city is within Birmingham and also distant to Wednesfield South and east of Old Warley?,"A. Upper Stoke
B. Stechford and Yardley North
C. Hexthorpe & Balby North",B. Stechford and Yardley North,"partial,correct,random"
Tyldesley,east,Claughton,within,Metropolitan Borough of Wigan,distant,Warbreck,"Tyldesley within Metropolitan Borough of Wigan, distant to Warbreck, and east of Claughton",Which city is within Metropolitan Borough of Wigan and also distant to Warbreck and east of Claughton?,"A. Great Lever
B. Rotherham East
C. Tyldesley",C. Tyldesley,"partial,random,correct"
St. Anne's,east,Dunston Hill and Whickham East,within,City of Sunderland,distant,Woolsington,"St. Anne's within City of Sunderland, distant to Woolsington, and east of Dunston Hill and Whickham East",Which city is within City of Sunderland and also distant to Woolsington and east of Dunston Hill and Whickham East?,"A. Whitburn and Marsden
B. Tong
C. St. Anne's",C. St. Anne's,"partial,random,correct"
Queensbury,east,Mossley Hill,within,Yorkshire and the Humber Euro Region,distant,Village,"Queensbury within Yorkshire and the Humber Euro Region, distant to Village, and east of Mossley Hill",Which city is within Yorkshire and the Humber Euro Region and also distant to Village and east of Mossley Hill?,"A. Soho
B. Queensbury
C. Wharfedale",B. Queensbury,"random,correct,partial"
Harpurhey,east,Little Hulton,within,North West Euro Region,distant,Holme Valley,"Harpurhey within North West Euro Region, distant to Holme Valley, and east of Little Hulton",Which city is within North West Euro Region and also distant to Holme Valley and east of Little Hulton?,"A. Lemington
B. Hellaby
C. Harpurhey",C. Harpurhey,"random,partial,correct"
Stairfoot,east,Whitefield,within,Yorkshire and the Humber Euro Region,distant,Todmorden,"Stairfoot within Yorkshire and the Humber Euro Region, distant to Todmorden, and east of Whitefield",Which city is within Yorkshire and the Humber Euro Region and also distant to Todmorden and east of Whitefield?,"A. Broadheath
B. Stairfoot
C. Simonside and Rekendyke",B. Stairfoot,"partial,correct,random"
Droylsden East,east,Old Swan,within,Tameside,distant,Park & Arbourthorne,"Droylsden East within Tameside, distant to Park & Arbourthorne, and east of Old Swan",Which city is within Tameside and also distant to Park & Arbourthorne and east of Old Swan?,"A. Otley and Yeadon
B. Droylsden East
C. Bingley",B. Droylsden East,"random,correct,partial"
Wednesbury North,east,Doxey,within,West Midlands Euro Region,distant,Smith's Wood,"Wednesbury North within West Midlands Euro Region, distant to Smith's Wood, and east of Doxey",Which city is within West Midlands Euro Region and also distant to Smith's Wood and east of Doxey?,"A. Brierley Hill
B. Saddleworth
C. Wednesbury North",C. Wednesbury North,"partial,random,correct"
Charlestown,east,Moss Bank,within,Manchester,distant,Morley South,"Charlestown within Manchester, distant to Morley South, and east of Moss Bank",Which city is within Manchester and also distant to Morley South and east of Moss Bank?,"A. Balderstone and Kirkholt
B. Cressington
C. Charlestown",C. Charlestown,"partial,random,correct"
Old Swan,east,Heswall,within,Liverpool,distant,Withington,"Old Swan within Liverpool, distant to Withington, and east of Heswall",Which city is within Liverpool and also distant to Withington and east of Heswall?,"A. Old Swan
B. Swanside
C. Orgreave South Yorkshire",A. Old Swan,"correct,partial,random"
Chadderton North,east,Atherton,within,Metropolitan Borough of Oldham,distant,Manor Castle,"Chadderton North within Metropolitan Borough of Oldham, distant to Manor Castle, and east of Atherton",Which city is within Metropolitan Borough of Oldham and also distant to Manor Castle and east of Atherton?,"A. Chadderton North
B. Morley West Yorkshire
C. Bingley Rural",A. Chadderton North,"correct,random,partial"
Childwall,east,Picton Cheshire,within,Liverpool,distant,Tottington,"Childwall within Liverpool, distant to Tottington, and east of Picton Cheshire",Which city is within Liverpool and also distant to Tottington and east of Picton Cheshire?,"A. Bowling and Barkerend
B. Benton
C. Childwall",C. Childwall,"partial,random,correct"
Wakefield West,east,Saddleworth,within,Yorkshire and the Humber Euro Region,far,Willenhall South,"Wakefield West within Yorkshire and the Humber Euro Region, far to Willenhall South, and east of Saddleworth",Which city is within Yorkshire and the Humber Euro Region and also far to Willenhall South and east of Saddleworth?,"A. Wibsey
B. Wakefield West
C. Kingswinford North and Wall Heath",B. Wakefield West,"partial,correct,random"
Bucklow-St. Martins,east,Allerton and Hunts Cross,within,North West Euro Region,far,Winlaton and High Spen,"Bucklow-St. Martins within North West Euro Region, far to Winlaton and High Spen, and east of Allerton and Hunts Cross",Which city is within North West Euro Region and also far to Winlaton and High Spen and east of Allerton and Hunts Cross?,"A. Bucklow-St. Martins
B. Walkley
C. Wakefield Rural",A. Bucklow-St. Martins,"correct,random,partial"
Willenhall South,east,Tettenhall Wightwick,within,Metropolitan Borough of Walsall,far,Hetton-le-Hole,"Willenhall South within Metropolitan Borough of Walsall, far to Hetton-le-Hole, and east of Tettenhall Wightwick",Which city is within Metropolitan Borough of Walsall and also far to Hetton-le-Hole and east of Tettenhall Wightwick?,"A. Edgbaston
B. Tipton Green
C. Willenhall South",C. Willenhall South,"random,partial,correct"
Keighley West,east,Bryn,within,Yorkshire and the Humber Euro Region,far,Simonside and Rekendyke,"Keighley West within Yorkshire and the Humber Euro Region, far to Simonside and Rekendyke, and east of Bryn",Which city is within Yorkshire and the Humber Euro Region and also far to Simonside and Rekendyke and east of Bryn?,"A. Keighley West
B. Cheetham
C. Bradford",A. Keighley West,"correct,random,partial"
Blakenall,east,Merry Hill,within,West Midlands Euro Region,far,City and Hunslet,"Blakenall within West Midlands Euro Region, far to City and Hunslet, and east of Merry Hill",Which city is within West Midlands Euro Region and also far to City and Hunslet and east of Merry Hill?,"A. Brooklands
B. Stanley and Outwood East
C. Blakenall",C. Blakenall,"partial,random,correct"
Atherleigh,east,Bold St Helens,within,North West Euro Region,far,Whoberley,"Atherleigh within North West Euro Region, far to Whoberley, and east of Bold St Helens",Which city is within North West Euro Region and also far to Whoberley and east of Bold St Helens?,"A. Almondbury
B. Atherleigh
C. Leasowe and Moreton East",B. Atherleigh,"partial,correct,random"
Oscott,east,Langley,within,West Midlands Euro Region,far,Park,"Oscott within West Midlands Euro Region, far to Park, and east of Langley",Which city is within West Midlands Euro Region and also far to Park and east of Langley?,"A. Oscott
B. Todmorden
C. North Heaton",A. Oscott,"correct,random,partial"
Sale Moor,east,Yew Tree,within,Trafford,far,Tettenhall Regis,"Sale Moor within Trafford, far to Tettenhall Regis, and east of Yew Tree",Which city is within Trafford and also far to Tettenhall Regis and east of Yew Tree?,"A. Willenhall North
B. Sale Moor
C. St. Helens",B. Sale Moor,"random,correct,partial"
Broadheath,east,Tuebrook and Stoneycroft,within,Trafford,far,Rotherham West,"Broadheath within Trafford, far to Rotherham West, and east of Tuebrook and Stoneycroft",Which city is within Trafford and also far to Rotherham West and east of Tuebrook and Stoneycroft?,"A. Ainsdale
B. Kersal
C. Broadheath",C. Broadheath,"random,partial,correct"
Shirley East,east,Hayley Green and Cradley South,within,West Midlands Euro Region,far,Rainford,"Shirley East within West Midlands Euro Region, far to Rainford, and east of Hayley Green and Cradley South",Which city is within West Midlands Euro Region and also far to Rainford and east of Hayley Green and Cradley South?,"A. Shirley East
B. Pallion
C. Lye and Stourbridge North",A. Shirley East,"correct,random,partial"
Pemberton,east,Victoria,within,Metropolitan Borough of Wigan,far,Sandhill,"Pemberton within Metropolitan Borough of Wigan, far to Sandhill, and east of Victoria",Which city is within Metropolitan Borough of Wigan and also far to Sandhill and east of Victoria?,"A. Darfield
B. Pemberton
C. Cross Gates and Whinmoor",B. Pemberton,"random,correct,partial"
Sutton Vesey,east,Blakenall,within,West Midlands Euro Region,far,Worsley,"Sutton Vesey within West Midlands Euro Region, far to Worsley, and east of Blakenall",Which city is within West Midlands Euro Region and also far to Worsley and east of Blakenall?,"A. Tividale
B. Darton East
C. Sutton Vesey",C. Sutton Vesey,"partial,random,correct"
West Ecclesfield,east,Prescot South,within,Yorkshire and the Humber Euro Region,far,Rainford,"West Ecclesfield within Yorkshire and the Humber Euro Region, far to Rainford, and east of Prescot South",Which city is within Yorkshire and the Humber Euro Region and also far to Rainford and east of Prescot South?,"A. Burmantofts and Richmond Hill
B. West Ecclesfield
C. Brinnington and Central",B. West Ecclesfield,"partial,correct,random"
Hale Barns,east,Windle St Helens,within,North West Euro Region,far,Soho and Victoria,"Hale Barns within North West Euro Region, far to Soho and Victoria, and east of Windle St Helens",Which city is within North West Euro Region and also far to Soho and Victoria and east of Windle St Helens?,"A. Billesley
B. Hale Barns
C. Chadderton North",B. Hale Barns,"random,correct,partial"
Almondbury,east,Eastham,within,Yorkshire and the Humber Euro Region,far,Hindley,"Almondbury within Yorkshire and the Humber Euro Region, far to Hindley, and east of Eastham",Which city is within Yorkshire and the Humber Euro Region and also far to Hindley and east of Eastham?,"A. Aldridge North and Walsall Wood
B. Altofts and Whitwood
C. Almondbury",C. Almondbury,"random,partial,correct"
Armley,east,Crompton,within,Yorkshire and the Humber Euro Region,far,Biddick and All Saints,"Armley within Yorkshire and the Humber Euro Region, far to Biddick and All Saints, and east of Crompton",Which city is within Yorkshire and the Humber Euro Region and also far to Biddick and All Saints and east of Crompton?,"A. Southey
B. Bradshaw
C. Armley",C. Armley,"partial,random,correct"
Bowdon,east,Moss Bank,within,Trafford,far,Gipton and Harehills,"Bowdon within Trafford, far to Gipton and Harehills, and east of Moss Bank",Which city is within Trafford and also far to Gipton and Harehills and east of Moss Bank?,"A. Bowdon
B. Fenham
C. Bromley Cross",A. Bowdon,"correct,random,partial"
Clubmoor,east,Everton,within,Liverpool,far,Hateley Heath,"Clubmoor within Liverpool, far to Hateley Heath, and east of Everton",Which city is within Liverpool and also far to Hateley Heath and east of Everton?,"A. Holme Valley
B. Clubmoor
C. Droylsden West",B. Clubmoor,"random,correct,partial"
High Fell,east,Low Fell,within,Metropolitan Borough of Gateshead,far,Little Hulton,"High Fell within Metropolitan Borough of Gateshead, far to Little Hulton, and east of Low Fell",Which city is within Metropolitan Borough of Gateshead and also far to Little Hulton and east of Low Fell?,"A. Hoyland Milton
B. High Fell
C. Bridges",B. High Fell,"random,correct,partial"
Prescot South,east,Greasby Frankby and Irby,within,Metropolitan Borough of Knowsley,far,Soho and Victoria,"Prescot South within Metropolitan Borough of Knowsley, far to Soho and Victoria, and east of Greasby Frankby and Irby",Which city is within Metropolitan Borough of Knowsley and also far to Soho and Victoria and east of Greasby Frankby and Irby?,"A. Hopwood Hall
B. Prescot South
C. Ashton Hurst",B. Prescot South,"partial,correct,random"
Davyhulme East,east,Hindley Green,within,Trafford,far,Tividale,"Davyhulme East within Trafford, far to Tividale, and east of Hindley Green",Which city is within Trafford and also far to Tividale and east of Hindley Green?,"A. Oscott
B. Davyhulme East
C. Cheetham",B. Davyhulme East,"random,correct,partial"
Leigh South,east,Claughton,within,North West Euro Region,far,Shirley East,"Leigh South within North West Euro Region, far to Shirley East, and east of Claughton",Which city is within North West Euro Region and also far to Shirley East and east of Claughton?,"A. Hyde Godley
B. Queensbury
C. Leigh South",C. Leigh South,"random,partial,correct"
Soho and Victoria,east,Cradley Heath and Old Hill,borders,Soho,near,St. Pauls,"Soho and Victoria borders Soho, near to St. Pauls, and east of Cradley Heath and Old Hill",Which city borders Soho and is also near to St. Pauls and east of Cradley Heath and Old Hill?,"A. Harborne
B. Soho and Victoria
C. Tettenhall Regis",B. Soho and Victoria,"partial,correct,random"
Clayton and Fairweather Green,east,Kensington and Fairfield,borders,Thornton and Allerton,near,Manningham,"Clayton and Fairweather Green borders Thornton and Allerton, near to Manningham, and east of Kensington and Fairfield",Which city borders Thornton and Allerton and is also near to Manningham and east of Kensington and Fairfield?,"A. Sheffield
B. Clayton and Fairweather Green
C. Crompton",B. Clayton and Fairweather Green,"random,correct,partial"
