place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
Audenshaw,north,Streetly,within,North West Euro Region,"Audenshaw is north Streetly, within North West Euro Region",Which city lies north to Streetly and within North West Euro Region?,"A. Speke-Garston
B. Audenshaw
C. Waterhead",B. Audenshaw,"partial,correct,random"
Audenshaw,south,Longbenton,borders,Gorton South,"Audenshaw is south Longbenton, borders Gorton South",Which city lies south to Longbenton and borders Gorton South?,"A. Broughton
B. Fellgate and Hedworth
C. Audenshaw",C. Audenshaw,"partial,random,correct"
Crompton,north,Wyken,within,North West Euro Region,"Crompton is north Wyken, within North West Euro Region",Which city lies north to Wyken and within North West Euro Region?,"A. Sandhill
B. Preston
C. Crompton",C. Crompton,"random,partial,correct"
Crompton,south,Fenham,borders,Shaw,"Crompton is south Fenham, borders Shaw",Which city lies south to Fenham and borders Shaw?,"A. Crompton
B. Holderness
C. Winlaton and High Spen",A. Crompton,"correct,partial,random"
Wollaston and Stourbridge Town,south,Hendon,within,Metropolitan Borough of Dudley,"Wollaston and Stourbridge Town is south Hendon, within Metropolitan Borough of Dudley",Which city lies south to Hendon and within Metropolitan Borough of Dudley?,"A. Levenshulme
B. Stalybridge North
C. Wollaston and Stourbridge Town",C. Wollaston and Stourbridge Town,"random,partial,correct"
Wollaston and Stourbridge Town,west,Sheldon,borders,Pedmore and Stourbridge East,"Wollaston and Stourbridge Town is west Sheldon, borders Pedmore and Stourbridge East",Which city lies west to Sheldon and borders Pedmore and Stourbridge East?,"A. Hyde Newton
B. Wollaston and Stourbridge Town
C. Handsworth Wood",B. Wollaston and Stourbridge Town,"random,correct,partial"
Holme Valley,east,Little Hulton,within,Kirklees,"Holme Valley is east Little Hulton, within Kirklees",Which city lies east to Little Hulton and within Kirklees?,"A. Clifford
B. Holme Valley
C. Shirley South",B. Holme Valley,"partial,correct,random"
Holme Valley,south,Hipperholme and Lightcliffe,borders,Kirkburton,"Holme Valley is south Hipperholme and Lightcliffe, borders Kirkburton",Which city lies south to Hipperholme and Lightcliffe and borders Kirkburton?,"A. Holme Valley
B. Kippax West Yorkshire
C. Rushall-Shelfield",A. Holme Valley,"correct,random,partial"
Weaste and Seedley,west,Stalybridge North,within,City of Salford,"Weaste and Seedley is west Stalybridge North, within City of Salford",Which city lies west to Stalybridge North and within City of Salford?,"A. Broughton
B. Weaste and Seedley
C. Guiseley and Rawdon",B. Weaste and Seedley,"partial,correct,random"
Weaste and Seedley,east,West Park,borders,Ordsall,"Weaste and Seedley is east West Park, borders Ordsall",Which city lies east to West Park and borders Ordsall?,"A. Barton
B. Weaste and Seedley
C. Claughton",B. Weaste and Seedley,"partial,correct,random"
Merry Hill,south,Washington East,within,Wolverhampton,"Merry Hill is south Washington East, within Wolverhampton",Which city lies south to Washington East and within Wolverhampton?,"A. Edenthorpe
B. St. Helens
C. Merry Hill",C. Merry Hill,"partial,random,correct"
Merry Hill,west,Erdington,borders,Tettenhall Wightwick,"Merry Hill is west Erdington, borders Tettenhall Wightwick",Which city lies west to Erdington and borders Tettenhall Wightwick?,"A. Langley
B. Bold St Helens
C. Merry Hill",C. Merry Hill,"partial,random,correct"
East Gosforth,north,Langley,within,Newcastle upon Tyne,"East Gosforth is north Langley, within Newcastle upon Tyne",Which city lies north to Langley and within Newcastle upon Tyne?,"A. East Gosforth
B. Kirkdale
C. Priory",A. East Gosforth,"correct,random,partial"
East Gosforth,east,Blaydon,borders,Parklands,"East Gosforth is east Blaydon, borders Parklands",Which city lies east to Blaydon and borders Parklands?,"A. Preston
B. East Gosforth
C. Bryn",B. East Gosforth,"partial,correct,random"
Middleton Park,east,Shaw,within,County Borough of Leeds,"Middleton Park is east Shaw, within County Borough of Leeds",Which city lies east to Shaw and within County Borough of Leeds?,"A. Middleton Park
B. Rotherham West
C. Great Bridge",A. Middleton Park,"correct,partial,random"
Middleton Park,south,Camperdown,borders,Morley South,"Middleton Park is south Camperdown, borders Morley South",Which city lies south to Camperdown and borders Morley South?,"A. Kingshurst and Fordbridge
B. Middleton Park
C. Kingstone",B. Middleton Park,"random,correct,partial"
Golborne and Lowton West,west,Wardle and West Littleborough,within,North West Euro Region,"Golborne and Lowton West is west Wardle and West Littleborough, within North West Euro Region",Which city lies west to Wardle and West Littleborough and within North West Euro Region?,"A. Southey
B. Bucklow-St. Martins
C. Golborne and Lowton West",C. Golborne and Lowton West,"random,partial,correct"
Golborne and Lowton West,east,Northwood,borders,Abram,"Golborne and Lowton West is east Northwood, borders Abram",Which city lies east to Northwood and borders Abram?,"A. Brooklands
B. Chadderton South
C. Golborne and Lowton West",C. Golborne and Lowton West,"partial,random,correct"
Davenport and Cale Green,north,Earlsdon,within,North West Euro Region,"Davenport and Cale Green is north Earlsdon, within North West Euro Region",Which city lies north to Earlsdon and within North West Euro Region?,"A. Davenport and Cale Green
B. Boothstown and Ellenbrook
C. Denton North East",A. Davenport and Cale Green,"correct,partial,random"
Davenport and Cale Green,west,Broomhill & Sharrow Vale,borders,Edgeley and Cheadle Heath,"Davenport and Cale Green is west Broomhill & Sharrow Vale, borders Edgeley and Cheadle Heath",Which city lies west to Broomhill & Sharrow Vale and borders Edgeley and Cheadle Heath?,"A. Hindley
B. Chapel Allerton
C. Davenport and Cale Green",C. Davenport and Cale Green,"partial,random,correct"
Wavertree,west,Hulme,within,Liverpool,"Wavertree is west Hulme, within Liverpool",Which city lies west to Hulme and within Liverpool?,"A. Wavertree
B. Leigh South
C. Belle Vale",A. Wavertree,"correct,partial,random"
Wavertree,south,Croxteth,borders,Church,"Wavertree is south Croxteth, borders Church",Which city lies south to Croxteth and borders Church?,"A. Westwood
B. Elmdon
C. Wavertree",C. Wavertree,"partial,random,correct"
Windle St Helens,north,Woolton,borders,Rainford,"Windle St Helens is north Woolton, borders Rainford",Which city lies north to Woolton and borders Rainford?,"A. Binley and Willenhall
B. Monkton
C. Windle St Helens",C. Windle St Helens,"random,partial,correct"
Winstanley,north,Wordsley,within,Metropolitan Borough of Wigan,"Winstanley is north Wordsley, within Metropolitan Borough of Wigan",Which city lies north to Wordsley and within Metropolitan Borough of Wigan?,"A. Winstanley
B. Ilkley
C. Horwich and Blackrod",A. Winstanley,"correct,random,partial"
Winstanley,west,Mossley,borders,Bryn,"Winstanley is west Mossley, borders Bryn",Which city lies west to Mossley and borders Bryn?,"A. Winstanley
B. Wigan West
C. Wainbody",A. Winstanley,"correct,partial,random"
Whitefield,west,Kirkstall,within,Metropolitan Borough of Knowsley,"Whitefield is west Kirkstall, within Metropolitan Borough of Knowsley",Which city lies west to Kirkstall and within Metropolitan Borough of Knowsley?,"A. Whitefield
B. Wigan Central
C. Chadderton North",A. Whitefield,"correct,random,partial"
Whitefield,north,Shirley East,borders,Shevington,"Whitefield is north Shirley East, borders Shevington",Which city lies north to Shirley East and borders Shevington?,"A. Blakenhall
B. Whitefield
C. Willenhall South",B. Whitefield,"random,correct,partial"
Norwood,west,Wrenthorpe and Outwood West,within,Metropolitan Borough of Sefton,"Norwood is west Wrenthorpe and Outwood West, within Metropolitan Borough of Sefton",Which city lies west to Wrenthorpe and Outwood West and within Metropolitan Borough of Sefton?,"A. Norwood
B. Stalybridge South
C. Astley Mosley Common",A. Norwood,"correct,partial,random"
Norwood,north,Perry Barr,borders,Cambridge,"Norwood is north Perry Barr, borders Cambridge",Which city lies north to Perry Barr and borders Cambridge?,"A. Norwood
B. Morley South
C. Farnley and Wortley",A. Norwood,"correct,partial,random"
Sharston,south,Wyke,within,Manchester,"Sharston is south Wyke, within Manchester",Which city lies south to Wyke and within Manchester?,"A. Castle and Priory
B. Sharston
C. Marple South",B. Sharston,"random,correct,partial"
Sharston,north,Cradley Heath and Old Hill,borders,Baguley,"Sharston is north Cradley Heath and Old Hill, borders Baguley",Which city lies north to Cradley Heath and Old Hill and borders Baguley?,"A. Werneth
B. Sharston
C. East Middleton",B. Sharston,"partial,correct,random"
Hoylake and Meols,west,Redvales,within,Metropolitan Borough of Wirral,"Hoylake and Meols is west Redvales, within Metropolitan Borough of Wirral",Which city lies west to Redvales and within Metropolitan Borough of Wirral?,"A. Hoylake and Meols
B. Tyldesley
C. Wath",A. Hoylake and Meols,"correct,partial,random"
Hoylake and Meols,south,Whitley Bay,borders,West Kirby and Thurstaston,"Hoylake and Meols is south Whitley Bay, borders West Kirby and Thurstaston",Which city lies south to Whitley Bay and borders West Kirby and Thurstaston?,"A. Dunston Hill and Whickham East
B. Thornton and Allerton
C. Hoylake and Meols",C. Hoylake and Meols,"random,partial,correct"
Almondbury,south,Keighley East,within,Yorkshire and the Humber Euro Region,"Almondbury is south Keighley East, within Yorkshire and the Humber Euro Region",Which city lies south to Keighley East and within Yorkshire and the Humber Euro Region?,"A. Almondbury
B. Kirkdale
C. Firth Park",A. Almondbury,"correct,random,partial"
Almondbury,east,Pensby and Thingwall,borders,Newsome,"Almondbury is east Pensby and Thingwall, borders Newsome",Which city lies east to Pensby and Thingwall and borders Newsome?,"A. Almondbury
B. Crumpsall
C. Bredbury and Woodley",A. Almondbury,"correct,partial,random"
Parklands,north,East Gosforth,within,Newcastle upon Tyne,"Parklands is north East Gosforth, within Newcastle upon Tyne",Which city lies north to East Gosforth and within Newcastle upon Tyne?,"A. Parklands
B. South Heaton
C. Blackheath",A. Parklands,"correct,partial,random"
Parklands,west,Primrose,borders,Weetslade,"Parklands is west Primrose, borders Weetslade",Which city lies west to Primrose and borders Weetslade?,"A. Parklands
B. Holme Valley North
C. Westerhope",A. Parklands,"correct,random,partial"
Claughton,south,Preston,within,Metropolitan Borough of Wirral,"Claughton is south Preston, within Metropolitan Borough of Wirral",Which city lies south to Preston and within Metropolitan Borough of Wirral?,"A. St. Alphege
B. Claughton
C. Hyde Werneth",B. Claughton,"random,correct,partial"
Claughton,north,Blythe,borders,Birkenhead and Tranmere,"Claughton is north Blythe, borders Birkenhead and Tranmere",Which city lies north to Blythe and borders Birkenhead and Tranmere?,"A. Princes End
B. Wales South Yorkshire
C. Claughton",C. Claughton,"partial,random,correct"
Healey,north,Ladywood,within,North West Euro Region,"Healey is north Ladywood, within North West Euro Region",Which city lies north to Ladywood and within North West Euro Region?,"A. Healey
B. Knottingley
C. City of Bradford",A. Healey,"correct,partial,random"
Healey,east,Bebington,borders,Wardle and West Littleborough,"Healey is east Bebington, borders Wardle and West Littleborough",Which city lies east to Bebington and borders Wardle and West Littleborough?,"A. Guiseley and Rawdon
B. Saddleworth
C. Healey",C. Healey,"partial,random,correct"
Windhill and Wrose,east,Winstanley,within,City of Bradford,"Windhill and Wrose is east Winstanley, within City of Bradford",Which city lies east to Winstanley and within City of Bradford?,"A. Ossett
B. Windhill and Wrose
C. St. Helens",B. Windhill and Wrose,"random,correct,partial"
Windhill and Wrose,north,Longford,borders,Idle and Thackley,"Windhill and Wrose is north Longford, borders Idle and Thackley",Which city lies north to Longford and borders Idle and Thackley?,"A. Birley
B. New Brighton
C. Windhill and Wrose",C. Windhill and Wrose,"partial,random,correct"
Manor,east,Harington,within,Metropolitan Borough of Sefton,"Manor is east Harington, within Metropolitan Borough of Sefton",Which city lies east to Harington and within Metropolitan Borough of Sefton?,"A. Featherstone
B. Dewsbury East
C. Manor",C. Manor,"random,partial,correct"
Manor,north,Blakenall,borders,Bredbury Green and Romiley,"Manor is north Blakenall, borders Bredbury Green and Romiley",Which city lies north to Blakenall and borders Bredbury Green and Romiley?,"A. Killingbeck and Seacroft
B. Manor
C. Rainford",B. Manor,"random,correct,partial"
Elmdon,east,St. Pauls,within,Metropolitan Borough of Solihull,"Elmdon is east St. Pauls, within Metropolitan Borough of Solihull",Which city lies east to St. Pauls and within Metropolitan Borough of Solihull?,"A. Stechford and Yardley North
B. Elmdon
C. Cherryfield",B. Elmdon,"partial,correct,random"
Elmdon,south,Bamford,borders,Lyndon,"Elmdon is south Bamford, borders Lyndon",Which city lies south to Bamford and borders Lyndon?,"A. Bredbury and Woodley
B. Elmdon
C. Winlaton and High Spen",B. Elmdon,"partial,correct,random"
Milnrow and Newhey,south,West Gosforth,within,Metropolitan Borough of Rochdale,"Milnrow and Newhey is south West Gosforth, within Metropolitan Borough of Rochdale",Which city lies south to West Gosforth and within Metropolitan Borough of Rochdale?,"A. Milnrow and Newhey
B. St. James's
C. Greasby Frankby and Irby",A. Milnrow and Newhey,"correct,random,partial"
Milnrow and Newhey,east,Davyhulme East,borders,Saddleworth North,"Milnrow and Newhey is east Davyhulme East, borders Saddleworth North",Which city lies east to Davyhulme East and borders Saddleworth North?,"A. Milnrow and Newhey
B. Duke's
C. Cheadle and Gatley",A. Milnrow and Newhey,"correct,random,partial"
Illingworth and Mixenden,south,Blaydon,within,Calderdale,"Illingworth and Mixenden is south Blaydon, within Calderdale",Which city lies south to Blaydon and within Calderdale?,"A. Illingworth and Mixenden
B. Bloxwich East
C. Great Bridge",A. Illingworth and Mixenden,"correct,random,partial"
Illingworth and Mixenden,west,Roman Ridge,borders,Luddendenfoot,"Illingworth and Mixenden is west Roman Ridge, borders Luddendenfoot",Which city lies west to Roman Ridge and borders Luddendenfoot?,"A. Harington
B. Wombwell
C. Illingworth and Mixenden",C. Illingworth and Mixenden,"partial,random,correct"
